d1.tax,mito.tax
Aethina_tumida,Aethina_tumida
Agrilus_planipennis,Agrilus_planipennis
Anoplophora_glabripennis,Anoplophora_glabripennis
Anthonomus_grandis_grandis,Anthonomus_grandis
Aphidius_gifuensis,Aphidius_gifuensis
Athalia_rosae,Athalia_rosa
Bicyclus_anynana,
Blattella_germanica*,Blattella_germanica
Bombus_vancouverensis_nearcticus,Bombus_vancouverensis_nearcticus
Bombus_vosnesenskii,Bombus_vosnesenskii
Camponotus_floridanus,Camponotus_floridanus
Cephus_cinctus,Cephus_cinctus
Chelonus_insularis,Chelonus_insularis
Chrysoperla_carnea,Chrysoperla_carnea
Cotesia_glomerata,Cotesia_vestalis
Cryptotermes_secundus,Cryptotermes_secundus
Dendroctonus_ponderosae,Dendroctonus_ponderosae
Diabrotica_virgifera_virgifera,Diabrotica_virgifera_virgifera
Diprion_similis,Diprion_similis
,Drosophila_ananassae
,Drosophila_biarmipes
Drosophila_elegans,
Drosophila_erecta,Drosophila_erecta
Drosophila_ficusphila,
Drosophila_mauritiana,Drosophila_mauritiana
Drosophila_melanogaster,Drosophila_melanogaster
,Drosophila_miranda
Drosophila_pseudoobscura,Drosophila_pseudoobscura
,Drosophila_santomea
Drosophila_sechellia,Drosophila_sechellia
Drosophila_simulans,Drosophila_simulans
Drosophila_subpulchrella,Drosophila_subpulchrella
Drosophila_yakuba,Drosophila_yakuba
Formica_exsecta,Formica_exsecta
Helicoverpa_zea,Helicoverpa_zea
,Homalodisca_vitripennis
Ischnura_elegans,Ischnura_elegans
Leptinotarsa_decemlineata,
Lucilia_cuprina,Lucilia_cuprina
,Macrosteles_quadrilineatus
Megachile_rotundata,Megachile_rotundata
Microplitis_demolitor,Microplitis_demolitor
Monomorium_pharaonis,Monomorium_pharaonis
Neodiprion_fabricii,Neodiprion_fabricii
Neodiprion_lecontei,Neodiprion_lecontei
Neodiprion_virginiana,Neodiprion_virginiana
Nomia_melanderi,
Nylanderia_fulva,Nylanderia_fulva
Onthophagus_taurus,
Ooceraea_biroi,Ooceraea_biroi
Osmia_bicornis_bicornis,Osmia_bicornis
Osmia_lignaria,Osmia_lignaria
Pantala_flavescens*,Pantala_flavescens
,Periplaneta_americana
Photinus_pyralis,Photinus_pyralis
,Platycnemis_pennipes
Platypus_cylindrus*,Platypus_cylindrus
Pogonomyrmex_barbatus,Pogonomyrmex_barbatus
Polistes_canadensis_canadensis,Polistes_canadensis_canadensis
Polistes_dominula,Polistes_dominula
Polistes_fuscatus,Polistes_fuscatus
,Reticulitermes_speratus
Schistocera_cancellata,Schistocerca_cancellata
Schistocera_gregaria,Schistocerca_gregaria
Schistocera_nitens,Schistocerca_nitens
Schistocera_serialis,Schistocerca_serialis
Sitophilus_oryzae,Sitophilus_oryzae
Tanypteryx_hageni*,Tanypteryx_hageni
Thrips_palmi,
Tribolium_madens,Tribolium_madens
Vespa_crabro,Vespa_crabro
Vespa_mandarinia,Vespa_mandarinia
Vespa_velutina,Vespa_velutina
Vespula_pensylvanica,Vespula_pensylvanica
Zootermopsis_nevadensis,Zootermopsis_nevadensis
